gene_id,B1_fpkm_CL,B2_fpkm_CL,B3_fpkm_CL,B4_fpkm_CL,B5_fpkm_CL,B6_fpkm_CL,B7_fpkm_CL,B8_fpkm_CL,B9_fpkm_CL,B10_fpkm_MO,B11_fpkm_MO,B12_fpkm_MO,B13_fpkm_MO,B14_fpkm_MO,B15_fpkm_MO,B16_fpkm_MO,B17_fpkm_MO,B18_fpkm_MO,B19_fpkm_MI,B20_fpkm_MI,B21_fpkm_MI,B22_fpkm_MI,B23_fpkm_MI,B24_fpkm_MI,B25_fpkm_MI,B26_fpkm_MI,B27_fpkm_MI,C1_fpkm_CL,C2_fpkm_CL,C3_fpkm_CL,C4_fpkm_CL,C5_fpkm_CL,C6_fpkm_CL,C7_fpkm_CL,C8_fpkm_CL,C9_fpkm_CL,C10_fpkm_MO,C11_fpkm_MO,C12_fpkm_MO,C13_fpkm_MO,C14_fpkm_MO,C15_fpkm_MO,C16_fpkm_MO,C17_fpkm_MO,C18_fpkm_MO,C19_fpkm_MI,C20_fpkm_MI,C21_fpkm_MI,C22_fpkm_MI,C23_fpkm_MI,C24_fpkm_MI,C25_fpkm_MI,C26_fpkm_MI,C27_fpkm_MI
ND1,349.11411,374.854876,242.396202,154.035294,275.821563,298.521506,1029.448,275.924297,525.808136,,,,,,,,,,116.53091,99.3863448,193.409728,515.164218,86.5290632,284.400563,116.916977,236.214589,182.662956,,,,,,,,,,,,,,,,,,,,,,,,,,,
COX1,734.213738,1077.37339,1005.74031,560.285433,837.478896,673.02203,2846.1372,453.480815,1227.37656,58.7230936,477.789478,332.610187,279.72029,1448.86401,616.674198,792.678053,299.392792,296.115207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2299.18322,1898.55769,2292.18724,1541.05061,521.515179,1523.32334,4794.76699,1418.39398,2513.50004,,,,,,,,,,1067.36181,304.787607,1001.90964,2373.01843,716.066413,1553.92965,934.562682,2267.05605,1130.13304,,,,,,,,,,,,,,,,,,,,,,,,,,,
COX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.05591899,7.89778744,1.29999711,4.23300329,5.52135002,3.08493536,5.42846711,5.18140918,4.6239759,10.8410157,15.7200905,12.4432334,0.77319511,32.5469199,23.3863253,7.75296457,11.6910012,14.2009079,,,,,,,,,
ND3,2341.94768,1472.17332,2532.36354,641.9846,1102.31317,1174.58794,4509.5486,530.419566,2690.51219,842.573717,449.306631,322.891161,845.730333,2301.97638,657.141078,959.826197,450.628832,526.648493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND4L,548.507181,842.009525,813.771593,260.612234,437.011284,387.44236,1773.88963,137.120168,863.343039,214.52486,137.788753,61.3459622,120.617868,768.473292,215.710695,198.309209,118.804615,59.3070658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND5,252.343344,253.595402,440.444305,127.077166,231.056115,351.441796,898.010594,132.583765,379.017917,,,,,,,,,,100.684102,109.544134,143.161114,523.11282,83.2521703,177.064534,132.136512,251.414982,86.4066685,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND6,4065.82083,4017.02908,4151.2081,2264.13966,3842.27142,3391.64522,7585.79852,1997.60933,5422.03813,,,,,,,,,,1368.88774,1898.49911,2378.59663,4548.86156,1382.59152,3500.47278,2027.58509,3170.07068,2330.32727,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYTB,89.2813049,124.903632,88.9251526,97.0649865,114.736589,108.170324,251.327851,113.3631,240.545479,,,,,,,,,,64.324455,27.9662403,65.549578,127.627084,54.6708234,52.6574554,62.7309713,91.5314067,40.6251229,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.3835575,15.8532981,25.2216358,17.5851318,20.208186,20.4776985,40.1085911,16.8774573,29.7996616,,,,,,,,,,12.567059,6.91646685,12.4763971,27.0555047,9.74303625,18.6522109,10.8750782,16.1775317,7.08955716,,,,,,,,,,,,,,,,,,,,,,,,,,,
